Tournament,Stage,Match Type,Map,Agent,Pick Rate
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,kayo,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,cypher,25%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,iso,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,harbor,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,gekko,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,fade,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,neon,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,deadlock,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,phoenix,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,raze,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,reyna,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,sage,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,chamber,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,brimstone,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,All Maps,yoru,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,jett,100%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,skye,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,killjoy,100%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,astra,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,sova,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,omen,100%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,viper,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,breach,50%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,kayo,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,cypher,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,iso,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,harbor,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,gekko,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,fade,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,neon,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,deadlock,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,phoenix,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,raze,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,reyna,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,sage,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,chamber,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,brimstone,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Haven,yoru,0%
Champions Tour 2023: EMEA Last Chance Qualifier,Playoffs,Upper Final,Pearl,jett,100%
